track_id,first_seen,store_entry_time,store_exit_time,last_seen,zone_id,current_zone,current_dwell_seconds,total_dwell_seconds,zone_dwell_seconds,zone_visits
1,2026-09-12T00:08:50.087452+05:30,2026-09-12T00:08:50.087452+05:30,,2026-09-12T00:09:40.079160+05:30,3a4fc350-dc2f-42c6-b4df-99ff26e4863a,Zone 1,49.991708,49.991708,{},[]
2,2026-09-12T00:07:55.483888+05:30,,,2026-09-12T00:08:03.404516+05:30,,,0.0,0.0,{},[]
3,2026-09-12T00:08:29.168773+05:30,2026-09-12T00:08:29.168773+05:30,2026-09-12T00:08:32.542046+05:30,2026-09-12T00:08:32.542046+05:30,,,0.0,3.373273,"{""Zone 1"": 3.373273}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-12T00:08:29.168773+05:30"", ""exited_at"": ""2026-09-12T00:08:32.542046+05:30"", ""dwell_seconds"": 3.373273}]"
4,2026-09-12T00:08:29.522177+05:30,,,2026-09-12T00:08:30.964191+05:30,,,0.0,0.0,{},[]
5,2026-09-12T00:08:35.037786+05:30,2026-09-12T00:08:35.037786+05:30,2026-09-12T00:08:37.193861+05:30,2026-09-12T00:08:37.193861+05:30,,,0.0,2.156075,"{""Zone 1"": 2.156075}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-12T00:08:35.037786+05:30"", ""exited_at"": ""2026-09-12T00:08:37.193861+05:30"", ""dwell_seconds"": 2.156075}]"
8,2026-09-12T00:08:59.599020+05:30,2026-09-12T00:08:59.599020+05:30,2026-09-12T00:09:00.421580+05:30,2026-09-12T00:09:00.421580+05:30,,,0.0,0.82256,"{""Zone 1"": 0.82256}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-12T00:08:59.599020+05:30"", ""exited_at"": ""2026-09-12T00:09:00.421580+05:30"", ""dwell_seconds"": 0.82256}]"
9,2026-09-12T00:08:57.587669+05:30,2026-09-12T00:08:57.587669+05:30,2026-09-12T00:09:00.653685+05:30,2026-09-12T00:09:00.653685+05:30,,,0.0,3.066016,"{""Zone 1"": 3.066016}","[{""zone_name"": ""Zone 1"", ""entered_at"": ""2026-09-12T00:08:57.587669+05:30"", ""exited_at"": ""2026-09-12T00:09:00.653685+05:30"", ""dwell_seconds"": 3.066016}]"
10,2026-09-12T00:09:08.964110+05:30,,,2026-09-12T00:09:26.126625+05:30,,,0.0,0.0,{},[]
11,2026-09-12T00:09:31.217777+05:30,,,2026-09-12T00:09:33.402533+05:30,,,0.0,0.0,{},[]
12,2026-09-12T00:09:33.735789+05:30,,,2026-09-12T00:09:39.677782+05:30,,,0.0,0.0,{},[]
